timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,643.46
2023-11-30 12:05:00,1,2,558.87
2023-11-30 12:10:00,1,3,514.38
2023-11-30 12:15:00,1,4,518.08
2023-11-30 12:20:00,1,5,627.15
2023-11-30 12:25:00,2,1,689.07
2023-11-30 12:30:00,2,2,614.43
2023-11-30 12:35:00,2,3,678.86
2023-11-30 12:40:00,2,4,575.04
2023-11-30 12:45:00,2,5,568.31
2023-11-30 12:50:00,3,1,512.62
2023-11-30 12:55:00,3,2,655.76
2023-11-30 13:00:00,3,3,574.03
2023-11-30 13:05:00,3,4,681.05
2023-11-30 13:10:00,3,5,588.5
2023-11-30 13:15:00,4,1,507.35
2023-11-30 13:20:00,4,2,573.37
2023-11-30 13:25:00,4,3,682.76
2023-11-30 13:30:00,4,4,647.88
2023-11-30 13:35:00,4,5,594.71
2023-11-30 13:40:00,5,1,505.54
2023-11-30 13:45:00,5,2,528.38
2023-11-30 13:50:00,5,3,514.36
2023-11-30 13:55:00,5,4,606.03
2023-11-30 14:00:00,5,5,501.07
