timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,413.41
2023-11-30 12:05:00,1,2,370.54
2023-11-30 12:10:00,1,3,471.24
2023-11-30 12:15:00,1,4,401.59
2023-11-30 12:20:00,1,5,488.23
2023-11-30 12:25:00,2,1,421.73
2023-11-30 12:30:00,2,2,352.15
2023-11-30 12:35:00,2,3,381.56
2023-11-30 12:40:00,2,4,310.36
2023-11-30 12:45:00,2,5,469.81
2023-11-30 12:50:00,3,1,346.17
2023-11-30 12:55:00,3,2,304.94
2023-11-30 13:00:00,3,3,424.53
2023-11-30 13:05:00,3,4,312.87
2023-11-30 13:10:00,3,5,328.0
2023-11-30 13:15:00,4,1,464.71
2023-11-30 13:20:00,4,2,441.4
2023-11-30 13:25:00,4,3,404.92
2023-11-30 13:30:00,4,4,300.81
2023-11-30 13:35:00,4,5,435.97
2023-11-30 13:40:00,5,1,375.11
2023-11-30 13:45:00,5,2,320.75
2023-11-30 13:50:00,5,3,462.9
2023-11-30 13:55:00,5,4,415.71
2023-11-30 14:00:00,5,5,390.19
