timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,151.03
2023-11-30 12:05:00,1,2,130.7
2023-11-30 12:10:00,1,3,122.02
2023-11-30 12:15:00,1,4,195.36
2023-11-30 12:20:00,1,5,180.74
2023-11-30 12:25:00,2,1,139.78
2023-11-30 12:30:00,2,2,153.4
2023-11-30 12:35:00,2,3,191.14
2023-11-30 12:40:00,2,4,134.66
2023-11-30 12:45:00,2,5,111.58
2023-11-30 12:50:00,3,1,122.09
2023-11-30 12:55:00,3,2,194.18
2023-11-30 13:00:00,3,3,167.85
2023-11-30 13:05:00,3,4,106.09
2023-11-30 13:10:00,3,5,120.39
2023-11-30 13:15:00,4,1,152.51
2023-11-30 13:20:00,4,2,141.69
2023-11-30 13:25:00,4,3,151.04
2023-11-30 13:30:00,4,4,177.7
2023-11-30 13:35:00,4,5,187.32
2023-11-30 13:40:00,5,1,117.28
2023-11-30 13:45:00,5,2,139.12
2023-11-30 13:50:00,5,3,166.8
2023-11-30 13:55:00,5,4,149.53
2023-11-30 14:00:00,5,5,164.76
